Marital status,Application mode,Application order,Course,Day/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,1,1,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
Single,1,2,Basic Education,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,Unskilled Workers,yes,no,no,yes,female,no,19,no,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
Single,17,1,Tourism,Day,Professional higher technical course,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,yes,21,no,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
Single,1,1,Veterinary Nursing,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
Single,1,1,Journalism and Communication,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
Single,9,1,Social Service,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Administrative staff,yes,no,no,yes,female,no,18,no,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
Single,8,2,Nursing,Day,Secondary education,Portuguese,Higher Education—degree,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1,1,Equiniculture,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1,1,Basic Education,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Executive Bodies, Directors, Directors and Executive Managers","Executive Bodies, Directors, Directors and Executive Managers",yes,no,no,yes,female,no,18,no,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1,3,Animation and Multimedia Design,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,female,yes,21,no,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
Single,9,4,Oral Hygiene,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,20,no,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1,4,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,yes,no,no,yes,female,no,18,no,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
Single,1,4,Advertising and Marketing Management,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
Single,1,1,Nursing,Day,Secondary education,Portuguese,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Higher Education—degree,Other Armed Forces personnel,"Specialists in finance, accounting, administrative organization, and public and commercial relations",no,no,no,yes,female,no,19,no,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
Single,1,1,Social Service,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
Single,8,2,Social Service,Day,Secondary education,Portuguese,Higher Education—bachelor’s degree,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Intermediate Level Technicians and Professions,Unskilled Workers,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
Single,1,1,Veterinary Nursing,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",yes,no,no,yes,female,no,18,no,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
Single,1,1,Management,Day,Secondary education,Portuguese,Higher Education—bachelor’s degreend cycle of the general high school course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Student,Student,yes,no,no,yes,female,no,20,no,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
Single,8,2,Nursing,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Skilled Workers in Agriculture, Fisheries, and Forestry","Skilled Workers in Agriculture, Fisheries, and Forestry",yes,no,no,yes,male,no,19,no,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
Single,15,1,Agronomy,Day,Technological specialization course,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,no,no,no,yes,male,no,21,no,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
Single,16,1,Communication Design,Day,Secondary education,Portuguese,Higher Education—master’s degree,Higher Education—master’s degree,Intermediate Level Technicians and Professions,"Skilled Workers in Agriculture, Fisheries, and Forestry",yes,no,no,yes,male,no,20,no,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1,1,Management,Day,Secondary education,Portuguese,Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,no,no,male,no,18,no,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,9,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,Higher Education—degree,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,19,no,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
Single,12,1,Biofuel Production Technologies,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",no,no,yes,no,male,no,37,no,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
Single,12,1,Informatics Engineering,Day,Secondary educationSecondary educationth Yr of schoolingÑnot completed,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,43,no,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
Single,14,1,Management,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,55,no,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
Divorced,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,39,no,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,15,1,Equiniculture,Day,Technological specialization course,3,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,no,female,no,20,yes,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
Single,1,5,Journalism and Communication,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
Single,1,2,Management,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1,6,Nursing,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Other Situation;,Other Situation;,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
Single,8,1,Journalism and Communication,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,no,no,female,no,20,no,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,yes,female,no,29,no,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
Single,8,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Administrative staff,Intermediate Level Technicians and Professions,no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
Single,8,2,Social Service,Day,Secondary education,Portuguese,Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,no,no,yes,female,no,18,no,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,8,6,Nursing,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
Single,15,1,Social Service (evening attendance),Evening ,Technological specialization course,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
Single,1,1,Social Service,Day,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,19,no,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
Single,12,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,yes,female,yes,24,no,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
Single,1,1,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Intermediate Level Technicians and Professions,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
Single,1,1,Journalism and Communication,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,20,no,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
Single,1,3,Equiniculture,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,female,no,19,no,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,12,1,Management (evening attendance),Evening ,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Administrative staff,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
